Vcoarse	Vfine	KVCO_fine[0, ::]
4.00000000000000000E0	-6.25000000000000000E-1	4.31394716474609297E7
4.00000000000000000E0	-3.75000000000000000E-1	5.74344276303100632E7
4.00000000000000000E0	-1.25000000000000000E-1	7.84962639191284239E7
4.00000000000000000E0	1.25000000000000000E-1	1.15736495035003673E8
4.00000000000000000E0	3.75000000000000000E-1	1.86586402611633351E8
4.00000000000000000E0	6.25000000000000000E-1	3.33163945025482189E8
4.00000000000000000E0	8.75000000000000000E-1	6.01741795456451456E8
4.00000000000000000E0	1.12500000000000000E0	8.28751784693145765E8
4.00000000000000000E0	1.37500000000000000E0	8.81074840939147919E8
4.00000000000000000E0	1.62500000000000000E0	6.19509959058044224E8
4.00000000000000000E0	1.87500000000000000E0	3.72660535372528079E8
4.00000000000000000E0	2.12500000000000000E0	2.62325917154907184E8
4.00000000000000000E0	2.37500000000000000E0	2.03928397458526600E8
4.00000000000000000E0	2.62500000000000000E0	1.56002629268676740E8
4.00000000000000000E0	2.87500000000000000E0	8.67499732889404207E7
4.00000000000000000E0	3.12500000000000000E0	2.36236472859191871E7
4.00000000000000000E0	3.37500000000000000E0	4.44489130197143556E6
4.00000000000000000E0	3.62500000000000000E0	6.00545596801757853E5
4.00000000000000000E0	3.87500000000000000E0	-2.78044024871826201E5


