Vcoarse	Vfine	dBm(HB.Vo_P[::,1])[0, ::]
5.00000000000000000E-1	4.00000000000000000E0	1.31065372073216224E0

Vcoarse	Vfine	dBm(HB.Vo_P[::,1])[4, ::]
1.00000000000000000E0	-1.00000000000000000E0	1.23193790440870110E0
1.00000000000000000E0	-7.50000000000000000E-1	1.23394006839508030E0
1.00000000000000000E0	-5.00000000000000000E-1	1.23644834048357843E0
1.00000000000000000E0	-2.50000000000000000E-1	1.23973273499317926E0
1.00000000000000000E0	0.00000000000000000E0	1.24373469864550579E0
1.00000000000000000E0	2.50000000000000000E-1	1.24956915907915977E0
1.00000000000000000E0	5.00000000000000000E-1	1.25877890472920839E0
1.00000000000000000E0	7.50000000000000000E-1	1.27415067255883407E0
1.00000000000000000E0	1.00000000000000000E0	1.29860944946431367E0
1.00000000000000000E0	1.25000000000000000E0	1.32814940196833753E0
1.00000000000000000E0	1.50000000000000000E0	1.35678576534042605E0
1.00000000000000000E0	1.75000000000000000E0	1.38078197013830817E0
1.00000000000000000E0	2.00000000000000000E0	1.39842179802265143E0
1.00000000000000000E0	2.25000000000000000E0	1.41149000113530398E0
1.00000000000000000E0	2.50000000000000000E0	1.42146070166513105E0
1.00000000000000000E0	2.75000000000000000E0	1.42891741638134206E0
1.00000000000000000E0	3.00000000000000000E0	1.43248404110898520E0
1.00000000000000000E0	3.25000000000000000E0	1.43325380881865172E0
1.00000000000000000E0	3.50000000000000000E0	1.43339914739378393E0
1.00000000000000000E0	3.75000000000000000E0	1.43340722777629459E0
1.00000000000000000E0	4.00000000000000000E0	1.43342025216181312E0

Vcoarse	Vfine	dBm(HB.Vo_P[::,1])[5, ::]
1.50000000000000000E0	-1.00000000000000000E0	1.48503579896052429E0
1.50000000000000000E0	-7.50000000000000000E-1	1.48712807231973265E0
1.50000000000000000E0	-5.00000000000000000E-1	1.48972245609595078E0
1.50000000000000000E0	-2.50000000000000000E-1	1.49336588567154926E0
1.50000000000000000E0	0.00000000000000000E0	1.49786569033527961E0
1.50000000000000000E0	2.50000000000000000E-1	1.50444944865514607E0
1.50000000000000000E0	5.00000000000000000E-1	1.51490530077720997E0
1.50000000000000000E0	7.50000000000000000E-1	1.53238145923266700E0
1.50000000000000000E0	1.00000000000000000E0	1.55949189657357223E0
1.50000000000000000E0	1.25000000000000000E0	1.59607083793014404E0
1.50000000000000000E0	1.50000000000000000E0	1.63875699462231950E0
1.50000000000000000E0	1.75000000000000000E0	1.66851903458968387E0
1.50000000000000000E0	2.00000000000000000E0	1.68671630162294406E0
1.50000000000000000E0	2.25000000000000000E0	1.69851469713882253E0
