Vcoarse	Vfine	Vo_N.pnmx[::,0][0, ::]
-5.00000000000000000E-1	2.00000000000000000E0	-1.12077395574573857E2
-5.00000000000000000E-1	2.25000000000000000E0	-1.12440207993384256E2
-5.00000000000000000E-1	2.50000000000000000E0	-1.13229845620169001E2
-5.00000000000000000E-1	2.75000000000000000E0	-1.14058298698279015E2
-5.00000000000000000E-1	3.00000000000000000E0	-1.14589835669564488E2
-5.00000000000000000E-1	3.25000000000000000E0	-1.14640377823400064E2
-5.00000000000000000E-1	3.50000000000000000E0	-1.14665253181010818E2
-5.00000000000000000E-1	3.75000000000000000E0	-1.14664553495863863E2
-5.00000000000000000E-1	4.00000000000000000E0	-1.14706047819565682E2

Vcoarse	Vfine	Vo_N.pnmx[::,0][2, ::]
0.00000000000000000E0	-1.00000000000000000E0	-1.26076969286136853E2
0.00000000000000000E0	-7.50000000000000000E-1	-1.26369513002311762E2
0.00000000000000000E0	-5.00000000000000000E-1	-1.26642206652436551E2
0.00000000000000000E0	-2.50000000000000000E-1	-1.26505605366232721E2
0.00000000000000000E0	0.00000000000000000E0	-1.26844470362157402E2
0.00000000000000000E0	2.50000000000000000E-1	-1.26232439612706981E2
0.00000000000000000E0	5.00000000000000000E-1	-1.25265691993013006E2
0.00000000000000000E0	7.50000000000000000E-1	-1.23494528489463518E2
0.00000000000000000E0	1.00000000000000000E0	-1.18824198204949671E2
0.00000000000000000E0	1.25000000000000000E0	-1.14675811465851218E2
0.00000000000000000E0	1.50000000000000000E0	-1.11857583570679675E2
0.00000000000000000E0	1.75000000000000000E0	-1.12860848858441742E2
0.00000000000000000E0	2.00000000000000000E0	-1.15285667894888832E2
0.00000000000000000E0	2.25000000000000000E0	-1.17931628574221681E2
0.00000000000000000E0	2.50000000000000000E0	-1.20207814968883508E2
0.00000000000000000E0	2.75000000000000000E0	-1.21791132284402615E2
0.00000000000000000E0	3.00000000000000000E0	-1.22412824821654853E2
0.00000000000000000E0	3.25000000000000000E0	-1.22515397823674332E2
0.00000000000000000E0	3.50000000000000000E0	-1.22523820645334824E2
0.00000000000000000E0	3.75000000000000000E0	-1.22512915039531389E2
0.00000000000000000E0	4.00000000000000000E0	-1.22607278192167923E2

Vcoarse	Vfine	Vo_N.pnmx[::,0][3, ::]
5.00000000000000000E-1	-1.00000000000000000E0	-1.19410245162055650E2
5.00000000000000000E-1	-7.50000000000000000E-1	-1.19038927649031057E2
5.00000000000000000E-1	-5.00000000000000000E-1	-1.18503029892845069E2
5.00000000000000000E-1	-2.50000000000000000E-1	-1.17983217477796165E2
5.00000000000000000E-1	0.00000000000000000E0	-1.17234811925150151E2
5.00000000000000000E-1	2.50000000000000000E-1	-1.16269245269726840E2
5.00000000000000000E-1	5.00000000000000000E-1	-1.15088136061616364E2
5.00000000000000000E-1	7.50000000000000000E-1	-1.13722735385170171E2
5.00000000000000000E-1	1.00000000000000000E0	-1.11819937440360873E2
5.00000000000000000E-1	1.25000000000000000E0	-1.13568615276573892E2
5.00000000000000000E-1	1.50000000000000000E0	-1.20062492180186697E2
5.00000000000000000E-1	1.75000000000000000E0	-1.20388958292557424E2
5.00000000000000000E-1	2.00000000000000000E0	-1.20413536521114350E2
5.00000000000000000E-1	2.25000000000000000E0	-1.21702160378510671E2
5.00000000000000000E-1	2.50000000000000000E0	-1.23695337339481481E2
5.00000000000000000E-1	2.75000000000000000E0	-1.25925386163260766E2
5.00000000000000000E-1	3.00000000000000000E0	-1.27305022104084142E2
5.00000000000000000E-1	3.25000000000000000E0	-1.27072011472580426E2
5.00000000000000000E-1	3.50000000000000000E0	-1.27151099884659713E2
5.00000000000000000E-1	3.75000000000000000E0	-1.27116018648852735E2
5.00000000000000000E-1	4.00000000000000000E0	-1.27663776070820401E2

Vcoarse	Vfine	Vo_N.pnmx[::,0][4, ::]
1.00000000000000000E0	-1.00000000000000000E0	-1.19977740116469311E2
