Vcoarse	Vfine	Fout[0, ::]
0.00000000000000000E0	1.25000000000000000E0	5.91811764269169238E10
0.00000000000000000E0	1.50000000000000000E0	5.92826465060893870E10
0.00000000000000000E0	1.75000000000000000E0	5.93501991860652378E10
0.00000000000000000E0	2.00000000000000000E0	5.93953226927350109E10
0.00000000000000000E0	2.25000000000000000E0	5.94280826510791549E10
0.00000000000000000E0	2.50000000000000000E0	5.94532043400176935E10
0.00000000000000000E0	2.75000000000000000E0	5.94724121840484976E10
0.00000000000000000E0	3.00000000000000000E0	5.94814733095180159E10
0.00000000000000000E0	3.25000000000000000E0	5.94833375465013781E10
0.00000000000000000E0	3.50000000000000000E0	5.94837176888752417E10
0.00000000000000000E0	3.75000000000000000E0	5.94837508003827420E10
0.00000000000000000E0	4.00000000000000000E0	5.94837006844731331E10

Vcoarse	Vfine	Fout[3, ::]
5.00000000000000000E-1	-1.00000000000000000E0	5.90611951985416717E10
5.00000000000000000E-1	-7.50000000000000000E-1	5.90654217977649942E10
5.00000000000000000E-1	-5.00000000000000000E-1	5.90709471978385192E10
5.00000000000000000E-1	-2.50000000000000000E-1	5.90784319496878219E10
5.00000000000000000E-1	0.00000000000000000E0	5.90885345516009686E10
5.00000000000000000E-1	2.50000000000000000E-1	5.91032619761802458E10
5.00000000000000000E-1	5.00000000000000000E-1	5.91264607385848429E10
5.00000000000000000E-1	7.50000000000000000E-1	5.91656124687830243E10
5.00000000000000000E-1	1.00000000000000000E0	5.92339781816780242E10
5.00000000000000000E-1	1.25000000000000000E0	5.93422278479071874E10
5.00000000000000000E-1	1.50000000000000000E0	5.94504555276122559E10
5.00000000000000000E-1	1.75000000000000000E0	5.95207142633523301E10
5.00000000000000000E-1	2.00000000000000000E0	5.95664637389578466E10
5.00000000000000000E-1	2.25000000000000000E0	5.95992118660407311E10
5.00000000000000000E-1	2.50000000000000000E0	5.96241797027139686E10
5.00000000000000000E-1	2.75000000000000000E0	5.96432235934304344E10
5.00000000000000000E-1	3.00000000000000000E0	5.96522944177773073E10
5.00000000000000000E-1	3.25000000000000000E0	5.96541846471197523E10
5.00000000000000000E-1	3.50000000000000000E0	5.96545672747573263E10
5.00000000000000000E-1	3.75000000000000000E0	5.96546009883916017E10
5.00000000000000000E-1	4.00000000000000000E0	5.96545518905078698E10

Vcoarse	Vfine	Fout[4, ::]
1.00000000000000000E0	-1.00000000000000000E0	5.94985703342123706E10
1.00000000000000000E0	-7.50000000000000000E-1	5.95034853336977676E10
1.00000000000000000E0	-5.00000000000000000E-1	5.95098623628663859E10
1.00000000000000000E0	-2.50000000000000000E-1	5.95184262377062101E10
1.00000000000000000E0	0.00000000000000000E0	5.95299487222593093E10
1.00000000000000000E0	2.50000000000000000E-1	5.95467278148665891E10
1.00000000000000000E0	5.00000000000000000E-1	5.95730945922241695E10
1.00000000000000000E0	7.50000000000000000E-1	5.96172546586633878E10
1.00000000000000000E0	1.00000000000000000E0	5.96911966712693243E10
1.00000000000000000E0	1.25000000000000000E0	5.98065433455816908E10
1.00000000000000000E0	1.50000000000000000E0	5.99260589029030832E10
1.00000000000000000E0	1.75000000000000000E0	6.00071684798898985E10
1.00000000000000000E0	2.00000000000000000E0	6.00598618994507838E10
1.00000000000000000E0	2.25000000000000000E0	6.00973843208840464E10
1.00000000000000000E0	2.50000000000000000E0	6.01258923379614352E10
1.00000000000000000E0	2.75000000000000000E0	6.01474965669334516E10
1.00000000000000000E0	3.00000000000000000E0	6.01580377033856362E10
